Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
CONGO,2020,1103,1036.0,941.0,95.0,591.0,,27.0,304.0,277.0,11.0,10.0,6.0,,15.0,,4.0,,24.0,,24.0,,67.0,,AFRICA
COOK ISLANDS,2020,18,,19.0,,6.0,,,13.0,5.0,,2.0,2.0,4.0,,,,,6.0,1.0,5.0,,,1.0,ASIA PACIFIC
COSTA RICA,2020,1842,1743.0,1755.0,-12.0,5.0,,297.0,1327.0,1319.0,1.0,5.0,2.0,,59.0,34.0,29.0,4.0,84.0,,84.0,,99.0,,SOUTH AND CENTRAL AMERICA
COTE D IVOIRE,2020,3541,2982.0,2885.0,97.0,945.0,136.0,336.0,1103.0,1043.0,11.0,7.0,42.0,,278.0,61.0,26.0,,126.0,75.0,51.0,,559.0,,AFRICA
CROATIA,2020,4432,4098.0,3859.0,239.0,758.0,234.0,553.0,1586.0,1538.0,11.0,4.0,33.0,,389.0,187.0,152.0,,61.0,17.0,44.0,,334.0,1.0,EUROPE
CUBA,2020,5778,5674.0,5833.0,-159.0,3653.0,12.0,1394.0,175.0,147.0,,3.0,,25.0,282.0,66.0,92.0,159.0,324.0,306.0,18.0,,104.0,1.0,SOUTH AND CENTRAL AMERICA
CURACAO,2020,493,,532.0,,116.0,,107.0,270.0,270.0,,,,,39.0,,,,1409.0,1378.0,31.0,,,3.0,SOUTH AND CENTRAL AMERICA
CYPRUS,2020,1785,1544.0,1553.0,-9.0,793.0,5.0,117.0,498.0,497.0,,1.0,,,87.0,23.0,23.0,7.0,314.0,237.0,77.0,,241.0,1.0,EUROPE
CZECH REPUBLIC,2020,23294,22789.0,21746.0,1043.0,10865.0,604.0,2342.0,5085.0,4964.0,61.0,33.0,3.0,24.0,1799.0,321.0,699.0,31.0,94.0,,94.0,,505.0,2.0,EUROPE
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,2020,13606,13003.0,12763.0,240.0,830.0,12.0,7869.0,1239.0,281.0,,,,958.0,1290.0,238.0,388.0,897.0,,,,,603.0,1.0,ASIA PACIFIC
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),2020,894,750.0,747.0,3.0,131.0,,1.0,615.0,535.0,,,80.0,,,,,,94.0,,94.0,,144.0,,AFRICA
DENMARK,2020,6685,6367.0,6765.0,-398.0,1089.0,433.0,948.0,3227.0,3054.0,52.0,13.0,97.0,11.0,512.0,347.0,154.0,31.0,751.0,477.0,274.0,24.0,318.0,1.0,EUROPE
DJIBOUTI,2020,106,79.0,79.0,,24.0,,7.0,28.0,28.0,,,,,12.0,,5.0,3.0,94.0,29.0,65.0,,27.0,,AFRICA
DOMINICA,2020,43,,45.0,,24.0,,3.0,13.0,13.0,,,,,2.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,SOUTH AND CENTRAL AMERICA
DOMINICAN REPUBLIC,2020,6395,5864.0,5704.0,160.0,2444.0,25.0,850.0,1874.0,1856.0,,18.0,,,388.0,54.0,69.0,,174.0,,174.0,,531.0,1.0,SOUTH AND CENTRAL AMERICA
ECUADOR,2020,8747,8234.0,8248.0,-14.0,1217.0,429.0,708.0,3989.0,3761.0,,35.0,193.0,,723.0,100.0,136.0,624.0,245.0,133.0,112.0,322.0,513.0,1.0,SOUTH AND CENTRAL AMERICA
EGYPT,2020,61267,55969.0,49535.0,6434.0,19524.0,3975.0,7546.0,13412.0,12981.0,,338.0,93.0,,4419.0,631.0,,28.0,716.0,271.0,445.0,,5298.0,1.0,AFRICA
EL SALVADOR,2020,1796,1694.0,1575.0,119.0,175.0,,313.0,888.0,888.0,,,,,192.0,,7.0,,58.0,,58.0,,102.0,,SOUTH AND CENTRAL AMERICA
EQUATORIAL GUINEA,2020,4631,,4632.0,,149.0,85.0,889.0,122.0,122.0,,,,,6.0,,13.0,23.0,27.0,,27.0,3345.0,,3.0,AFRICA
ERITREA,2020,176,158.0,158.0,,82.0,,5.0,57.0,56.0,,1.0,,,10.0,1.0,3.0,,17.0,14.0,3.0,,18.0,,AFRICA
ESTONIA,2020,2659,2654.0,1869.0,785.0,892.0,34.0,120.0,638.0,624.0,8.0,1.0,5.0,,41.0,75.0,69.0,,260.0,240.0,20.0,,5.0,2.0,EUROPE
ETHIOPIA,2020,4919,3835.0,3836.0,-1.0,1.0,,1456.0,1948.0,1945.0,,3.0,,,65.0,151.0,64.0,151.0,376.0,,376.0,,1084.0,,AFRICA
FAEROE ISLANDS,2020,207,,208.0,,44.0,,23.0,29.0,29.0,,,,,32.0,70.0,10.0,,46.0,46.0,,,,4.0,EUROPE
FALKLAND ISLANDS (MALVINAS),2020,11,,12.0,,3.0,,,5.0,5.0,,,,,4.0,,,,,,,,,3.0,SOUTH AND CENTRAL AMERICA
FEDERATED STATES OF MICRONESIA,2020,40,,39.0,,16.0,,,22.0,13.0,,1.0,8.0,,,,,1.0,8.0,3.0,5.0,,,,ASIA PACIFIC
FIJI,2020,284,274.0,273.0,1.0,70.0,,49.0,132.0,107.0,,8.0,17.0,,20.0,,2.0,,28.0,19.0,9.0,,10.0,,ASIA PACIFIC
FINLAND,2020,10136,9974.0,8987.0,987.0,2634.0,610.0,1653.0,3134.0,2998.0,17.0,23.0,93.0,3.0,239.0,324.0,214.0,179.0,503.0,269.0,234.0,,162.0,2.0,EUROPE
FRANCE (INCLUDING MONACO),2020,72604,71001.0,67385.0,3616.0,6393.0,1711.0,9390.0,31093.0,29812.0,87.0,843.0,351.0,,10234.0,2902.0,5270.0,392.0,3043.0,857.0,2186.0,,1603.0,1.0,EUROPE
FRENCH GUIANA,2020,9,,,,,,,,,,,,,,,,,,,,,9.0,,SOUTH AND CENTRAL AMERICA
FRENCH POLYNESIA,2020,231,,231.0,,90.0,,,124.0,97.0,,9.0,,18.0,9.0,8.0,,,,,,,,1.0,ASIA PACIFIC
GABON,2020,1312,1255.0,1116.0,139.0,277.0,161.0,130.0,51.0,49.0,,2.0,,,39.0,,12.0,2.0,161.0,134.0,27.0,444.0,57.0,1.0,AFRICA
GAMBIA,2020,191,,191.0,,107.0,,38.0,20.0,20.0,,,,,,,,26.0,15.0,,15.0,,,,AFRICA
GEORGIA,2020,2916,2630.0,2489.0,141.0,325.0,,440.0,1018.0,919.0,2.0,,,97.0,598.0,13.0,95.0,,50.0,3.0,47.0,,286.0,1.0,EUROPE
GERMANY,2020,163396,159817.0,148985.0,10832.0,47860.0,5184.0,19356.0,41468.0,40497.0,208.0,243.0,221.0,299.0,24582.0,2030.0,8456.0,42.0,4955.0,1147.0,3808.0,7.0,3579.0,2.0,EUROPE
GHANA,2020,5613,5041.0,4965.0,76.0,1622.0,46.0,370.0,2662.0,2651.0,1.0,8.0,2.0,,188.0,59.0,18.0,,107.0,4.0,103.0,,572.0,,AFRICA
GIBRALTAR,2020,172,,172.0,,29.0,,,143.0,143.0,,,,,,,,,3715.0,3712.0,3.0,,,5.0,EUROPE
GREECE,2020,13482,12666.0,13063.0,-397.0,4771.0,1143.0,1130.0,4216.0,3697.0,6.0,74.0,439.0,,1331.0,43.0,155.0,274.0,1732.0,1436.0,296.0,,816.0,1.0,EUROPE
GREENLAND,2020,150,,148.0,,23.0,,7.0,34.0,13.0,,8.0,13.0,,28.0,42.0,13.0,1.0,17.0,17.0,,,,3.0,NORTH AMERICA
GRENADA,2020,79,,77.0,,39.0,,3.0,24.0,24.0,,,,,6.0,4.0,1.0,,7.0,,7.0,,,1.0,SOUTH AND CENTRAL AMERICA
GUADELOUPE,2020,32,,,,,,,,,,,,,,,,,,,,,32.0,,SOUTH AND CENTRAL AMERICA
GUATEMALA,2020,4446,4359.0,4365.0,-6.0,866.0,54.0,830.0,2320.0,2317.0,,,,3.0,281.0,,14.0,,374.0,332.0,42.0,,87.0,,SOUTH AND CENTRAL AMERICA
GUINEA,2020,1400,1228.0,1228.0,,203.0,,384.0,619.0,616.0,,3.0,,,22.0,,,,22.0,,22.0,,172.0,,AFRICA
GUINEA BISSAU,2020,81,,83.0,,16.0,,,28.0,23.0,,,5.0,,8.0,,,31.0,11.0,,11.0,,,,AFRICA
GUYANA,2020,724,683.0,682.0,1.0,241.0,,32.0,230.0,230.0,,,,,21.0,149.0,9.0,,4.0,,4.0,,41.0,1.0,SOUTH AND CENTRAL AMERICA
HAITI,2020,685,654.0,830.0,-176.0,224.0,,159.0,376.0,376.0,,,,,70.0,,1.0,,19.0,,19.0,,31.0,,SOUTH AND CENTRAL AMERICA
HONDURAS,2020,2579,2427.0,2379.0,48.0,864.0,,229.0,1071.0,1030.0,,23.0,3.0,15.0,98.0,26.0,91.0,,,,,,152.0,,SOUTH AND CENTRAL AMERICA
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,2020,9145,8986.0,8859.0,127.0,5752.0,,385.0,1802.0,1798.0,,4.0,,,650.0,,156.0,114.0,9078.0,6189.0,2889.0,,159.0,1.0,ASIA PACIFIC
HUNGARY,2020,12446,12186.0,11326.0,860.0,2502.0,518.0,1585.0,3585.0,3520.0,28.0,1.0,3.0,33.0,1989.0,434.0,693.0,20.0,84.0,,84.0,,260.0,1.0,EUROPE
ICELAND,2020,518,,408.0,,1.0,,16.0,248.0,238.0,,3.0,7.0,,2.0,140.0,1.0,,91.0,20.0,71.0,,,1.0,EUROPE
INDIA,2020,650069,619555.0,548002.0,71553.0,235578.0,17206.0,177268.0,34940.0,26165.0,1024.0,2029.0,5486.0,236.0,23539.0,770.0,1291.0,56992.0,2356.0,1264.0,1092.0,418.0,30514.0,,ASIA PACIFIC
INDONESIA,2020,178159,171428.0,158842.0,12586.0,75249.0,4584.0,38459.0,15387.0,13028.0,167.0,1474.0,718.0,,20238.0,337.0,1232.0,55.0,677.0,299.0,378.0,3301.0,6731.0,1.0,ASIA PACIFIC
IRAQ,2020,44585,41162.0,41608.0,-446.0,16141.0,3361.0,2752.0,7646.0,7628.0,,18.0,,,2587.0,,,,463.0,222.0,241.0,9121.0,3423.0,1.0,MIDDLE EAST
IRELAND,2020,8995,8530.0,8636.0,-106.0,2292.0,110.0,981.0,2826.0,2703.0,26.0,3.0,85.0,9.0,1794.0,157.0,476.0,,451.0,130.0,321.0,,465.0,2.0,EUROPE
ISLAMIC REPUBLIC OF IRAN,2020,198727,190377.0,168999.0,21378.0,41999.0,11446.0,25941.0,34726.0,33977.0,,491.0,,258.0,28734.0,3181.0,4597.0,,1488.0,1223.0,265.0,18375.0,8350.0,2.0,MIDDLE EAST
ISLE OF MAN,2020,70,,70.0,,56.0,,,,,,,,,14.0,,,,,,,,,,EUROPE
ISRAEL,2020,15408,14767.0,15163.0,-396.0,8767.0,593.0,1031.0,4325.0,4268.0,49.0,8.0,,,131.0,,53.0,263.0,689.0,340.0,349.0,,641.0,2.0,MIDDLE EAST
ITALY (INCLUDING SAN MARINO),2020,74851,72950.0,72865.0,85.0,21903.0,2915.0,7277.0,22863.0,21947.0,36.0,280.0,478.0,122.0,11424.0,1883.0,4576.0,24.0,3396.0,2151.0,1245.0,,1901.0,1.0,EUROPE
JAMAICA,2020,1756,1660.0,1716.0,-56.0,549.0,42.0,327.0,699.0,575.0,,3.0,121.0,,65.0,,20.0,14.0,119.0,59.0,60.0,,96.0,1.0,SOUTH AND CENTRAL AMERICA
JAPAN,2020,272364,265616.0,239822.0,25794.0,117020.0,6712.0,35176.0,48998.0,44984.0,132.0,1390.0,2492.0,,15019.0,3597.0,13300.0,,6423.0,4168.0,2255.0,,6748.0,2.0,ASIA PACIFIC
JORDAN,2020,5856,5450.0,5386.0,64.0,2188.0,150.0,388.0,1919.0,1833.0,,84.0,,2.0,453.0,,116.0,172.0,74.0,37.0,37.0,,406.0,1.0,MIDDLE EAST
KAZAKHSTAN,2020,56644,55444.0,53337.0,2107.0,27638.0,2993.0,6618.0,5693.0,5604.0,10.0,73.0,,6.0,7935.0,531.0,1929.0,,271.0,95.0,176.0,,1200.0,3.0,COMMONWEALTH OF INDEPENDENT STATES
KENYA,2020,5827,4992.0,4350.0,642.0,168.0,,707.0,2738.0,2717.0,10.0,2.0,9.0,,329.0,20.0,257.0,131.0,340.0,5.0,335.0,,835.0,,AFRICA
KIRIBATI,2020,18,,22.0,,6.0,,,10.0,8.0,,1.0,1.0,,2.0,3.0,1.0,,1.0,,1.0,,,,ASIA PACIFIC
KOSOVO,2020,2349,2257.0,2254.0,3.0,1634.0,,190.0,348.0,347.0,1.0,,,,13.0,17.0,52.0,,2.0,,2.0,,92.0,1.0,EUROPE
KUWAIT,2020,26768,26352.0,24278.0,2074.0,12271.0,4489.0,3466.0,3462.0,3462.0,,,,,202.0,,,,801.0,437.0,364.0,388.0,416.0,6.0,MIDDLE EAST
KYRGYZSTAN,2020,2255,2036.0,1981.0,55.0,393.0,17.0,122.0,700.0,364.0,5.0,3.0,,328.0,646.0,3.0,94.0,6.0,2.0,,2.0,,219.0,,COMMONWEALTH OF INDEPENDENT STATES
LAO PEOPLE S DEMOCRATIC REPUBLIC,2020,5380,4727.0,4729.0,-2.0,3471.0,,220.0,824.0,814.0,,10.0,,,10.0,44.0,7.0,153.0,31.0,,31.0,,653.0,1.0,ASIA PACIFIC
LATVIA,2020,1763,1609.0,1689.0,-80.0,355.0,12.0,122.0,857.0,832.0,23.0,,2.0,,112.0,128.0,100.0,3.0,222.0,174.0,48.0,,154.0,1.0,EUROPE
LEBANON,2020,6088,5849.0,5850.0,-1.0,3223.0,,255.0,1707.0,1707.0,,,,,665.0,,,,246.0,25.0,221.0,,239.0,1.0,MIDDLE EAST
LESOTHO,2020,593,,596.0,,,,446.0,109.0,109.0,,,,,30.0,,11.0,,,,,,,,AFRICA
LIBERIA,2020,212,166.0,169.0,-3.0,65.0,,3.0,95.0,90.0,,5.0,,,,3.0,1.0,2.0,8.0,5.0,3.0,,46.0,,AFRICA
LIBYAN ARAB JAMAHIRIYAH,2020,12635,12289.0,11494.0,795.0,4934.0,258.0,487.0,4481.0,4468.0,,13.0,,,295.0,,,,97.0,82.0,15.0,1039.0,346.0,2.0,AFRICA
LIECHTENSTEIN,2020,13,,13.0,,,,,,,,,,,,,,13.0,,,,,,,EUROPE
LITHUANIA,2020,3638,3491.0,3020.0,471.0,271.0,383.0,305.0,1735.0,1670.0,45.0,,3.0,17.0,189.0,59.0,70.0,8.0,203.0,159.0,44.0,,147.0,1.0,EUROPE
LUXEMBOURG,2020,2172,2061.0,2064.0,-3.0,39.0,,206.0,1384.0,1381.0,3.0,,,,273.0,16.0,146.0,,454.0,,454.0,,111.0,3.0,EUROPE
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,2020,282,282.0,248.0,34.0,57.0,,25.0,88.0,88.0,,,,,14.0,,5.0,59.0,3.0,3.0,,,,,ASIA PACIFIC
MACEDONIA,2020,1898,1898.0,1901.0,-3.0,1065.0,2.0,248.0,530.0,521.0,1.0,8.0,,,8.0,10.0,,38.0,,,,,,1.0,EUROPE
MADAGASCAR,2020,1083,1066.0,1066.0,,250.0,,410.0,362.0,327.0,,16.0,19.0,,29.0,,,15.0,23.0,2.0,21.0,,17.0,,AFRICA
MALAWI,2020,503,445.0,445.0,,5.0,,48.0,369.0,368.0,,1.0,,,3.0,,,20.0,1.0,,1.0,,58.0,,AFRICA
MALAYSIA,2020,71797,69685.0,61072.0,8613.0,31196.0,3232.0,8353.0,16167.0,16013.0,,154.0,,,486.0,675.0,438.0,,861.0,326.0,535.0,525.0,2112.0,2.0,ASIA PACIFIC
MALDIVES,2020,450,,451.0,,176.0,,17.0,247.0,145.0,,10.0,92.0,,11.0,,,,62.0,53.0,9.0,,,1.0,ASIA PACIFIC
MALI,2020,1762,1572.0,1577.0,-5.0,440.0,,3.0,1061.0,793.0,192.0,,30.0,46.0,11.0,59.0,3.0,,52.0,,52.0,,190.0,,AFRICA
MALTA,2020,432,,441.0,,218.0,,15.0,165.0,154.0,,1.0,10.0,,12.0,6.0,25.0,,1980.0,1930.0,50.0,,,1.0,EUROPE
MARSHALL ISLANDS,2020,40,,39.0,,16.0,,,23.0,23.0,,,,,,,,,2.0,,2.0,,,1.0,ASIA PACIFIC
MARTINIQUE,2020,15,,,,,,,,,,,,,,,,,,,,,15.0,,SOUTH AND CENTRAL AMERICA
MAURITANIA,2020,1232,1124.0,1124.0,,223.0,,335.0,465.0,464.0,,1.0,,,49.0,52.0,,,10.0,,10.0,,108.0,,AFRICA
MAURITIUS,2020,1039,,1037.0,,577.0,,85.0,316.0,260.0,,47.0,7.0,2.0,44.0,2.0,13.0,,595.0,547.0,48.0,,,1.0,AFRICA
MEXICO,2020,118811,113927.0,95020.0,18907.0,33315.0,11155.0,13253.0,28559.0,27880.0,322.0,8.0,349.0,,4187.0,1548.0,1193.0,,1693.0,133.0,1560.0,1810.0,4884.0,1.0,NORTH AMERICA
MONGOLIA,2020,10101,9976.0,11164.0,-1188.0,3230.0,,95.0,510.0,491.0,,3.0,,16.0,314.0,3.0,287.0,6725.0,14.0,,14.0,,125.0,3.0,ASIA PACIFIC
MONTENEGRO,2020,657,,657.0,,406.0,,52.0,183.0,183.0,,,,,4.0,3.0,9.0,,4.0,,4.0,,,1.0,EUROPE
MONTSERRAT,2020,6,,6.0,,3.0,,,3.0,3.0,,,,,,,,,1.0,1.0,,,,1.0,SOUTH AND CENTRAL AMERICA
MOROCCO,2020,17705,16395.0,16422.0,-27.0,7422.0,3.0,1742.0,4358.0,4338.0,10.0,10.0,,,2083.0,694.0,118.0,2.0,355.0,117.0,238.0,,1310.0,,AFRICA
MOZAMBIQUE,2020,1757,1444.0,1544.0,-100.0,395.0,73.0,180.0,862.0,830.0,,9.0,23.0,,18.0,,7.0,9.0,16.0,4.0,12.0,,313.0,,AFRICA
MYANMAR (FORMERLY BURMA),2020,9465,8821.0,9890.0,-1069.0,3598.0,394.0,1484.0,3599.0,3499.0,36.0,64.0,,,391.0,100.0,51.0,260.0,14.0,,14.0,13.0,644.0,,ASIA PACIFIC
NAMIBIA,2020,977,876.0,882.0,-6.0,23.0,,68.0,472.0,448.0,,2.0,18.0,4.0,2.0,243.0,2.0,72.0,9.0,,9.0,,101.0,,AFRICA
NAURU,2020,14,,15.0,,7.0,,,4.0,,,,,4.0,,,,4.0,6.0,3.0,3.0,,,1.0,ASIA PACIFIC
NEPAL,2020,4082,3208.0,3089.0,119.0,,,1123.0,1318.0,1310.0,,8.0,,,246.0,219.0,183.0,,39.0,,39.0,,874.0,,ASIA PACIFIC
NETHERLANDS,2020,37725,37725.0,33290.0,4435.0,9460.0,2786.0,5960.0,7516.0,7319.0,18.0,7.0,172.0,,3977.0,1762.0,1768.0,52.0,12030.0,10207.0,1823.0,9.0,,2.0,EUROPE
NEW CALEDONIA,2020,1344,1336.0,1228.0,108.0,781.0,,267.0,164.0,147.0,,4.0,13.0,,7.0,4.0,5.0,,17.0,7.0,10.0,,8.0,5.0,ASIA PACIFIC
NEW ZEALAND,2020,9195,8879.0,8004.0,875.0,1315.0,349.0,1699.0,3703.0,3419.0,28.0,185.0,71.0,,168.0,447.0,309.0,,574.0,149.0,425.0,14.0,316.0,2.0,ASIA PACIFIC
NICARAGUA,2020,1294,1242.0,1178.0,64.0,224.0,28.0,158.0,582.0,532.0,,1.0,49.0,,48.0,12.0,126.0,,5.0,,5.0,,52.0,,SOUTH AND CENTRAL AMERICA
NIGER,2020,780,741.0,573.0,168.0,190.0,,60.0,282.0,282.0,,,,,23.0,,14.0,4.0,48.0,,48.0,,39.0,,AFRICA
NIGERIA,2020,33131,30225.0,26436.0,3789.0,3599.0,3170.0,1952.0,13652.0,13413.0,39.0,154.0,46.0,,1047.0,3.0,1.0,140.0,511.0,219.0,292.0,2872.0,2906.0,,AFRICA
NIUE,2020,2,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,ASIA PACIFIC
NORWAY,2020,10701,10501.0,9441.0,1060.0,216.0,3402.0,1443.0,3580.0,2579.0,11.0,189.0,801.0,,5.0,350.0,241.0,25.0,354.0,210.0,144.0,179.0,200.0,2.0,EUROPE
OCCUPIED PALESTINIAN TERRITORY,2020,908,,906.0,,115.0,,17.0,599.0,599.0,,,,,146.0,9.0,20.0,,,,,,,,MIDDLE EAST
OMAN,2020,18055,17293.0,18390.0,-1097.0,3966.0,2575.0,3276.0,2686.0,2678.0,,8.0,,,175.0,,3767.0,624.0,304.0,174.0,130.0,1321.0,762.0,4.0,MIDDLE EAST
PAKISTAN,2020,54407,49810.0,46564.0,3246.0,14190.0,307.0,13623.0,12360.0,11576.0,192.0,592.0,,,5016.0,10.0,911.0,147.0,240.0,19.0,221.0,,4597.0,,ASIA PACIFIC
PALAU,2020,58,,58.0,,19.0,,,37.0,11.0,,,26.0,,2.0,,,,5.0,,5.0,,,3.0,ASIA PACIFIC
PANAMA,2020,2815,2738.0,2704.0,34.0,963.0,,388.0,1078.0,1069.0,,8.0,,1.0,197.0,8.0,70.0,,3959.0,3732.0,227.0,,77.0,1.0,SOUTH AND CENTRAL AMERICA
PANAMA,2020,2815,2738.0,2704.0,34.0,963.0,,388.0,1078.0,1069.0,,8.0,,1.0,197.0,8.0,70.0,,3959.0,3732.0,227.0,,77.0,1.0,SOUTH AND CENTRAL AMERICA
PAPUA NEW GUINEA,2020,2094,2080.0,2087.0,-7.0,689.0,378.0,470.0,418.0,354.0,,64.0,,,29.0,83.0,20.0,,56.0,5.0,51.0,,14.0,,ASIA PACIFIC
PARAGUAY,2020,2040,1937.0,2141.0,-204.0,1.0,,44.0,2031.0,2028.0,,3.0,,,,,,65.0,21.0,,21.0,,103.0,,SOUTH AND CENTRAL AMERICA
PERU,2020,12679,11742.0,11269.0,473.0,2252.0,574.0,1701.0,5535.0,5357.0,20.0,117.0,41.0,,794.0,82.0,292.0,,416.0,201.0,215.0,39.0,937.0,,SOUTH AND CENTRAL AMERICA
PHILIPPINES,2020,36252,33816.0,33732.0,84.0,19328.0,219.0,3153.0,7796.0,6964.0,2.0,186.0,644.0,,969.0,181.0,2086.0,,581.0,89.0,492.0,,2436.0,,ASIA PACIFIC
PLURINATIONAL STATE OF BOLIVIA,2020,5006,4677.0,4600.0,77.0,843.0,250.0,494.0,2320.0,2274.0,,46.0,,,464.0,150.0,34.0,,22.0,,22.0,45.0,329.0,,SOUTH AND CENTRAL AMERICA
POLAND,2020,76432,74393.0,72455.0,1938.0,34338.0,2202.0,5973.0,17547.0,17257.0,68.0,15.0,1.0,206.0,8095.0,2742.0,1546.0,,635.0,255.0,380.0,12.0,2039.0,2.0,EUROPE
