Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
ST. PIERRE & MIQUELON,2020,17,,17.0,,10.0,,,7.0,3.0,,,,4.0,,,,,3.0,3.0,,,,3.0,NORTH AMERICA
ST. VINCENT & THE GRENADINES,2020,67,,68.0,,26.0,,,34.0,26.0,,,,8.0,8.0,,,,,,,,,1.0,SOUTH AND CENTRAL AMERICA
SURINAME,2020,797,792.0,660.0,132.0,232.0,13.0,17.0,151.0,59.0,,4.0,,88.0,18.0,80.0,5.0,143.0,59.0,31.0,28.0,1.0,5.0,1.0,SOUTH AND CENTRAL AMERICA
SWAZILAND,2020,298,,299.0,,24.0,,76.0,169.0,169.0,,,,,1.0,16.0,13.0,,1.0,,1.0,,,,AFRICA
SWEDEN,2020,8870,8524.0,8066.0,458.0,260.0,608.0,1476.0,4955.0,4802.0,12.0,50.0,91.0,,195.0,299.0,273.0,,2474.0,2189.0,285.0,,346.0,1.0,EUROPE
SWITZERLAND,2020,8570,8126.0,8040.0,86.0,114.0,103.0,856.0,4071.0,4003.0,8.0,37.0,15.0,8.0,1871.0,,894.0,131.0,570.0,1.0,569.0,,444.0,1.0,EUROPE
SWITZERLAND,2020,8570,8126.0,8040.0,86.0,114.0,103.0,856.0,4071.0,4003.0,8.0,37.0,15.0,8.0,1871.0,,894.0,131.0,570.0,1.0,569.0,,444.0,1.0,EUROPE
SYRIAN ARAB REPUBLIC,2020,7302,7009.0,6532.0,477.0,2927.0,173.0,668.0,1378.0,1306.0,,72.0,,,512.0,149.0,103.0,64.0,229.0,221.0,8.0,558.0,293.0,,MIDDLE EAST
TAIWAN,2020,67946,66697.0,64037.0,2660.0,41379.0,2923.0,7459.0,9768.0,9659.0,,60.0,49.0,,1217.0,355.0,821.0,115.0,2609.0,1014.0,1595.0,,1249.0,3.0,ASIA PACIFIC
TAJIKISTAN,2020,2469,1973.0,1979.0,-6.0,546.0,,327.0,451.0,450.0,1.0,,,,204.0,,,451.0,21.0,,21.0,,496.0,,COMMONWEALTH OF INDEPENDENT STATES
